PARÂMETROS
25;5;4;8
COORDENADAS
0;798;693
1;813;537
2;775;548
3;320;621
4;18;373
5;968;319
6;694;229
7;836;429
8;132;477
9;95;101
10;555;565
11;572;968
12;242;330
13;127;860
14;716;928
15;47;858
16;179;52
17;261;812
18;856;884
19;912;998
20;216;726
21;462;692
22;380;348
23;254;46
24;949;104
DISTÂNCIAS
DE/PARA;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;156;146;483;843;410;475;266;700;919;274;355;664;691;248;768;891;550;199;325;582;336;541;845;608
1;156;0;39;500;811;267;330;110;683;840;259;493;607;758;402;830;798;616;349;471;626;383;472;744;453
2;146;39;0;460;776;299;329;133;646;813;220;466;575;719;384;791;775;577;345;470;586;344;442;723;476
3;483;500;460;0;390;714;541;550;236;566;241;428;301;307;501;361;586;199;597;701;147;158;279;578;814
4;843;811;776;390;0;951;691;819;154;282;570;812;228;499;891;485;359;501;981;1090;404;546;362;403;969
5;410;267;299;714;951;0;288;171;850;899;480;760;726;999;659;1067;832;861;575;681;855;628;588;764;215
6;475;330;329;541;691;288;0;245;614;612;363;749;463;848;699;902;544;726;674;799;689;517;335;476;283
7;266;110;133;550;819;171;245;0;705;810;312;600;602;829;513;898;757;690;455;574;687;457;463;696;344
8;700;683;646;236;154;850;614;705;0;377;432;659;183;383;737;390;427;358;830;937;262;393;279;447;898
9;919;840;813;566;282;899;612;810;377;0;653;989;272;759;1034;758;97;730;1091;1213;636;695;377;168;854
10;274;259;220;241;570;480;363;312;432;653;0;403;391;519;397;586;636;383;438;561;375;157;278;599;606
11;355;493;466;428;812;760;749;600;659;989;403;0;718;457;149;536;996;347;296;341;430;297;649;975;942
12;664;607;575;301;228;726;463;602;183;272;391;718;0;542;763;562;285;482;826;946;396;423;139;284;742
13;691;758;719;307;499;999;848;829;383;759;519;457;542;0;592;80;809;142;729;797;160;374;571;823;1116
14;248;402;384;501;891;659;699;513;737;1034;397;149;763;592;0;672;1027;469;146;208;539;346;670;995;856
15;768;830;791;361;485;1067;902;898;390;758;586;536;562;80;672;0;816;218;809;876;214;446;609;837;1175
16;891;798;775;586;359;832;544;757;427;97;636;996;285;809;1027;816;0;764;1072;1196;675;699;357;75;771
17;550;616;577;199;501;861;726;690;358;730;383;347;482;142;469;218;764;0;599;677;97;234;479;766;987
18;199;349;345;597;981;575;674;455;830;1091;438;296;826;729;146;809;1072;599;0;127;659;438;716;1031;785
19;325;471;470;701;1090;681;799;574;937;1213;561;341;946;797;208;876;1196;677;127;0;747;544;839;1157;894
20;582;626;586;147;404;855;689;687;262;636;375;430;396;160;539;214;675;97;659;747;0;248;412;681;961
21;336;383;344;158;546;628;517;457;393;695;157;297;423;374;346;446;699;234;438;544;248;0;353;678;763
22;541;472;442;279;362;588;335;463;279;377;278;649;139;571;670;609;357;479;716;839;412;353;0;327;619
23;845;744;723;578;403;764;476;696;447;168;599;975;284;823;995;837;75;766;1031;1157;681;678;327;0;697
24;608;453;476;814;969;215;283;344;898;854;606;942;742;1116;856;1175;771;987;785;894;961;763;619;697;0
